Demi Lovato,"Let It Go - From ""Frozen / Single Version",2014,Dance Pop,226
Demi Lovato,Really Don't Care,2015,Dance Pop,202
Demi Lovato,Confident,2016,Dance Pop,206
Demi Lovato,Body Say,2016,Dance Pop,194
Demi Lovato,Sorry Not Sorry,2018,Dance Pop,204
Demi Lovato,Tell Me You Love Me - NOTD Remix,2018,Dance Pop,182
Disclosure,Latch,2014,House,256
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2018,Dance Pop,204
DJ Snake,Let Me Love You,2017,Electronic Trap,206
DNCE,Cake By The Ocean,2016,Dance Pop,219
DNCE,Toothbrush,2016,Dance Pop,232
DNCE,Blown,2016,Dance Pop,197
DNCE,Kissing Strangers,2017,Dance Pop,202
DNCE,Body Moves,2017,Dance Pop,236
DNCE,Kissing Strangers - Remix,2017,Dance Pop,202
DNCE,Kissing Strangers,2018,Dance Pop,202
Drake,Too Good,2016,Canadian Hip Hop,263
Dua Lipa,New Rules,2018,Dance Pop,209
Dua Lipa,IDGAF,2018,Dance Pop,218
Dua Lipa,Want To,2018,Dance Pop,212
Ed Sheeran,Thinking out Loud,2015,Pop,282
Ed Sheeran,Don't,2015,Pop,220
Ed Sheeran,Sing,2015,Pop,235
Ed Sheeran,Bloodstream,2015,Pop,309
Ed Sheeran,Shape of You,2017,Pop,234
Ed Sheeran,Perfect Duet (Ed Sheeran & Beyonc?,2018,Pop,260
Ed Sheeran,South of the Border (feat. Camila Cabello & Cardi B),2019,Pop,204
Ed Sheeran,Beautiful People (feat. Khalid),2019,Pop,198
Ed Sheeran,I Don't Care (with Justin Bieber),2019,Pop,220
Ed Sheeran,Antisocial (with Travis Scott),2019,Pop,162
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock),2019,Pop,206
Ellie Goulding,Lights - Single Version,2012,Dance Pop,211
Ellie Goulding,Anything Could Happen,2013,Dance Pop,286
Ellie Goulding,Burn,2014,Dance Pop,231
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015,Dance Pop,253
Ellie Goulding,On My Mind,2015,Dance Pop,213
Emeli Sande,Next To Me,2013,Dance Pop,197
Emeli Sande,Clown,2013,Dance Pop,221
Emeli Sande,Hurts,2016,Dance Pop,238
Eminem,Love The Way You Lie,2010,Detroit Hip Hop,263
Eminem,Walk On Water (feat. Beyonc?,2018,Detroit Hip Hop,304
Enrique Iglesias,I Like It,2010,Dance Pop,231
Enrique Iglesias,Tonight (I'm Fuckin' You),2011,Dance Pop,232
Enrique Iglesias,Finally Found You,2013,Dance Pop,221
Enrique Iglesias,Let Me Be Your Lover,2015,Dance Pop,238
Enrique Iglesias,MOVE TO MIAMI,2018,Dance Pop,169
Far East Movement,Like A G6,2010,Dance Pop,217
Fergie,A Little Party Never Killed Nobody (All We Got),2013,Dance Pop,241
Fergie,A Little Party Never Killed Nobody (All We Got),2014,Dance Pop,241
Fergie,L.A.LOVE (la la),2015,Dance Pop,193
Fifth Harmony,Worth It,2015,Dance Pop,225
Fifth Harmony,BO$$,2015,Dance Pop,171
